data,region,liga,godzina,druzyna_dom,forma_dom,forma_wyjazd,druzyna_wyjazd,kurs_dom,kurs_remis,kurs_wyjazd
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 1,19:30,Manchester United,1.75,3.00,Leeds United,1.98,3.45,3.10
12/08,Severnaya Irlandiya,Zhenskiy Chempionship,19:30,Olster zh Strabane Athletic W,,,Mid-Ulster,,,
12/08,Angliya,Kubok Anglii,19:45,Atletik Campion,1.00,1.00,Frickley Athletic,,,
12/08,Angliya,Kubok Anglii,19:45,Aylesbury United,0.00,0.00,Flackwell Heath,2.20,4.00,2.45
12/08,Angliya,Kubok Anglii,19:45,Hutton FC,1.00,1.00,Northwood,,,
12/08,Angliya,Kubok Anglii,19:45,North Shields FC,1.00,1.00,Consett,,,
12/08,Angliya,Kubok Anglii,19:45,Slimbridge,1.00,1.00,Burnham,,,
12/08,Angliya,Kubok Anglii,19:45,Town FC Northwich Victoria,1.00,1.00,Beverley Town,,,
12/08,Angliya,Non-Liga 1-y Div Yuzhnyy Tsentralnyy,19:45,Yunayted Aylesbury United,,,Thame United,,,
12/08,Angliya,Non-Liga Premer Yuzhnyy,19:45,Villa Gosport Borough,,,Hanworth Villa,,,
12/08,Angliya,Northern Midlands Division One,19:45,Corby Town,0.00,0.00,Boston Town,2.03,3.50,3.10
12/08,Angliya,Northern Midlands Division One,19:45,Coventry United,0.00,0.00,Grantham Town,1.61,4.10,4.26
12/08,Angliya,Northern Midlands Division One,19:45,Rugby Borough,0.00,3.00,Basford United,2.83,3.64,2.11
12/08,Shotlandiya,Shotlandskiy kubok vyzova,19:45,Hamilton Academical,0.00,0.00,Celtic II,1.25,5.40,6.50
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 3,19:45,Nottingham Forest,0.00,3.00,Bayer Leverkusen,2.37,3.44,2.54
12/08,Angliya,Kubok Anglii,20:00,Lingfield,1.00,1.00,Corinthian,,,
12/08,Portugaliya,Liga Revelekau U23,20:00,Vicente FC Under 23 Estoril U23,,,Gil Vicente U23,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,Reyndzhers U20 Limavady United U20,,,Carrick Rangers FC Under 20,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,Svifts U20 Coleraine U20,,,Dungannon Swifts FC Under 20,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,U20 Bangor FC Under 20,,,Larne U20,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,U20 Crusaders U20,,,Glentoran U20,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,U20 Portadown U20,,,Cliftonville U20,,,
12/08,Severnaya Irlandiya,Liga razvitiya Premershipa,20:00,Yunayted U20 Linfield U20,,,Ballymena United FC Under 20,,,
12/08,Chili,Primera B,20:00,Magallanes,1.63,1.00,Cobreloa,2.40,3.10,2.65
12/08,Evropa,Superkubok UEFA,20:00,PSG,0.00,0.00,Aston Villa,1.75,3.90,4.50
12/08,Argentina,Torneo Federal A,20:00,Belgrano San Martin Formosa,,,Sportivo Belgrano,,,
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 1,20:00,Deportivo La Coruna,0.00,2.00,Real Madrid,6.50,5.00,1.28
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 3,20:00,Malaga CF,1.25,1.00,Fulham,3.20,3.55,1.88
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 3,20:00,Napoli,1.75,0.00,Aris,1.28,4.48,6.60
12/08,Severnaya Irlandiya,Zhenskiy Chempionship,20:00,James Swifts LFC Bangor Ladies,,,St. James Swifts,,,
12/08,Severnaya Irlandiya,Zhenskiy Chempionship,20:00,Svifts zh Ballymena Allstars,,,Sion Swifts,,,
12/08,Mezhdunarodnye,CAF Womens Africa Cup of Nations,21:00,Morocco W,2.50,2.50,Cameroon W,1.73,3.20,4.75
12/08,Yuzhnaya Amerika,Kubok Libertadores,23:00,Porteno Palmeiras,,,Cerro Porteno,,,
12/08,Yuzhnaya Amerika,Kubok Libertadores,23:00,Unido Platense,,,Coquimbo Unido,,,
12/08,Chili,Primera B,23:00,Recoleta,1.33,0.25,Rangers,2.05,3.10,3.10
12/08,Yuzhnaya Amerika,Yuzhnoamerikanskiy kubok,23:00,Mineyro Bragantino,,,Atletico Mineiro,,,
12/08,Yuzhnaya Amerika,Yuzhnoamerikanskiy kubok,23:00,Siti Torke Tigre,,,Torque,,,
12/08,Argentina,Kubok Argentiny,23:15,Atletico Tucuman,3.00,3.00,Independiente,3.60,2.95,1.98
12/08,Argentina,Torneo Federal A,23:30,Matre Olimpo,,,Villa Mitre,,,
